0 1.99901
0.0314159 1.9931
0.0628319 1.98132
0.0942478 1.96374
0.125664 1.94047
0.15708 1.91169
0.188496 1.87757
0.219911 1.83833
0.251327 1.79425
0.282743 1.74561
0.314159 1.69274
0.345575 1.63599
0.376991 1.57574
0.408407 1.51241
0.439823 1.44642
0.471239 1.37822
0.502655 1.30829
0.534071 1.23711
0.565487 1.16517
0.596903 1.09299
0.628319 1.02107
0.659734 0.949951
0.69115 0.880138
0.722566 0.812154
0.753982 0.746514
0.785398 0.683723
0.816814 0.624278
0.84823 0.56866
0.879646 0.517335
0.911062 0.470748
0.942478 0.429324
0.973894 0.393462
1.00531 0.363533
1.03673 0.33988
1.06814 0.322814
1.09956 0.31261
1.13097 0.30951
1.16239 0.313718
1.19381 0.325396
1.22522 0.344668
1.25664 0.371617
1.28805 0.406282
1.31947 0.448659
1.35088 0.498699
1.3823 0.556311
1.41372 0.621359
1.44513 0.693662
1.47655 0.772998
1.50796 0.859098
1.53938 0.951655
1.5708 1.05032
1.60221 1.1547
1.63363 1.26437
1.66504 1.37887
1.69646 1.49769
1.72788 1.62031
1.75929 1.74617
1.79071 1.87468
1.82212 2.00522
1.85354 2.13716
1.88496 2.26986
1.91637 2.40263
1.94779 2.53479
1.9792 2.66567
2.01062 2.79455
2.04204 2.92074
2.07345 3.04354
2.10487 3.16225
2.13628 3.2762
2.1677 3.3847
2.19911 3.4871
2.23053 3.58276
2.26195 3.67106
2.29336 3.75141
2.32478 3.82325
2.35619 3.88604
2.38761 3.93929
2.41903 3.98254
2.45044 4.01538
2.48186 4.03743
2.51327 4.04836
2.54469 4.04791
2.57611 4.03583
2.60752 4.01195
2.63894 3.97615
2.67035 3.92836
2.70177 3.86857
2.73319 3.79682
2.7646 3.71322
2.79602 3.61793
2.82743 3.51116
2.85885 3.39319
2.89027 3.26435
2.92168 3.12504
2.9531 2.97569
2.98451 2.81681
3.01593 2.64894
3.04734 2.47269
3.07876 2.2887
3.11018 2.09768
3.14159 1.90035
