0 5 0
0.0561985 4.92104 -1.40496
0.112397 4.76438 -2.78774
0.168596 4.53247 -4.12649
0.224794 4.229 -5.40009
0.280993 3.85874 -6.5884
0.337191 3.42755 -7.67268
0.39339 2.94223 -8.63579
0.449588 2.41045 -9.46254
0.505787 1.8406 -10.1399
0.561985 1.24169 -10.6571
0.618184 0.623172 -11.006
0.674382 -0.00518716 -11.1811
0.730581 -0.633464 -11.1796
0.786779 -1.25174 -11.0016
0.842978 -1.85025 -10.6499
0.899176 -2.41954 -10.13
0.955375 -2.95062 -9.4501
1.01157 -3.4351 -8.621
1.06777 -3.86535 -7.65576
1.12397 -4.23455 -6.56963
1.18017 -4.53688 -5.37975
1.23637 -4.76757 -4.10492
1.29257 -4.92298 -2.76527
1.34876 -5.00064 -1.38195
1.40496 -4.99934 0.0231977
1.46116 -4.91909 1.42797
1.51736 -4.76116 2.8102
1.57356 -4.52804 4.14805
1.62976 -4.22343 5.4204
1.68596 -3.85211 6.60715
1.74215 -3.41997 7.68957
1.79835 -2.93382 8.65055
1.85455 -2.40135 9.47493
1.91075 -1.83095 10.1497
1.96695 -1.23164 10.6642
2.02315 -0.612877 11.0103
2.07935 0.0155615 11.1825
2.13554 0.643754 11.1781
2.19174 1.26178 10.9972
2.24794 1.85988 10.6427
2.30414 2.42861 10.12
2.36034 2.95899 9.43762
2.41654 3.44265 8.60617
2.47273 3.87194 7.63881
2.52893 4.24008 6.55082
2.58513 4.54127 5.35939
2.64133 4.77075 4.08333
2.69753 4.92489 2.74278
2.75373 5.00126 1.35892
2.80993 4.99865 -0.0463953
2.86612 4.91711 -1.45098
2.92232 4.75792 -2.83265
2.97852 4.52359 -4.16959
3.03472 4.21784 -5.44069
3.09092 3.84547 -6.62587
3.14712 3.41238 -7.70642
3.20332 2.92541 -8.66527
3.25951 2.39224 -9.48729
3.31571 1.82129 -10.1595
3.37191 1.22158 -10.6713
3.42811 0.602579 -11.0145
3.48431 -0.0259357 -11.1838
3.54051 -0.654041 -11.1765
3.59671 -1.27182 -10.9928
3.6529 -1.86951 -10.6354
3.7091 -2.43768 -10.1101
3.7653 -2.96736 -9.4251
3.8215 -3.45018 -8.5913
3.8777 -3.87851 -7.62182
3.9339 -4.2456 -6.53199
3.99009 -4.54565 -5.33901
4.04629 -4.77391 -4.06172
4.10249 -4.92678 -2.72028
4.15869 -5.00186 -1.33589
4.21489 -4.99795 0.0695927
4.27109 -4.91511 1.47398
4.32729 -4.75466 2.85509
4.38348 -4.51913 4.19111
4.43968 -4.21223 5.46095
4.49588 -3.83881 6.64456
4.55208 -3.40478 7.72324
4.60828 -2.91698 8.67996
4.66448 -2.38312 9.49961
4.72068 -1.81162 10.1692
4.77687 -1.21151 10.6783
4.83307 -0.592279 11.0187
4.88927 0.0363098 11.1851
4.94547 0.664325 11.1749
5.00167 1.28185 10.9883
5.05787 1.87913 10.6281
5.11407 2.44674 10.1001
5.17026 2.97571 9.41255
5.22646 3.45769 8.57639
5.28266 3.88507 7.60481
5.33886 4.2511 6.51313
5.39506 4.55 5.3186
5.45126 4.77704 4.04009
5.50745 4.92866 2.69777
5.56365 5.00244 1.31286
